Пор.No,Арт.No,Име,Прод.цена
349,5317,"Suha pasta ""Palma"" 0.320g",0.7
350,5318,Salam Burgas Ken vakuum 220gr,1.65
351,5319,Presen shpek Chichovci vakuum 410gr,1.9
352,5320,Delikatesen salam Ken vakuum 240gr,2.23
353,5321,Vareno-pushen krenvirsh Leki vakuum,2.12
354,5322,Trakiiska lukanka Chichovci 0.310,2.85
355,5323,Pileshki krenvirshi Choki vakuum 280gr,1.17
356,5324,Shpek Leki 250gr vakuum,2.63
357,5325,Salam Hamburgski Naroden 400gr,1.44
358,5326,Salam Kamchiq Naroden 400gr,1.44
359,5327,Salam Teleshki Naroden 400gr,1.44
360,5328,Starobulgarska lukanka Rezerva KFM vakuum,2.96
361,5329,Kebapche pecheno klasik Boni 4x50 ,1.07
362,5330,Panagurska lukanka Rezerva KFM 190gr,3.01
363,5331,Lionska nadenica Leki 400gr,2.04
364,5332,Bingo 2in1 Color 2kg,4.8
365,5333,Bingo Starry Night 2kg,4.8
366,5334,Sushenica surovo-sushena Chichovci vakuum 150gr,1.55
367,5335,Shpek Turnovo  Slais 120gr,1.17
368,5336,Bingo Shining Colors 2kg,4.8
369,5337,Krenvirsh Sachi  400gr pileshki,2.25
370,5338,Lukankov kolbas Sredna gora slais 120gr,1.17
371,5339,Lukankov kolbas Medven narqzan 120gr,1.17
372,5340,Bingo Sensitive 2kg,4.8
373,5341,Salam servilat  Ken 220gr,1.54
374,5342,Salam Florentiner Eko Mes narqzan 100gr,0.96
375,5343,Bingo 2in1 2kg,4.8
376,5344,Shpek Burgas Naroden vakuum 220gr,2.11
377,5345,Bingo Star 2kg,4.8
378,5346,Mini shpek Chichovci vakuum 170gr,0.99
379,5347,Teo Bebe 1.5kg Lavender,5.3
380,5348,Teo Bebe Tender Aloe 1.5kg,5.3
381,5349,Savex 2in1 White 2kg,4.8
382,5350,Kolbas Hamburgski Ken 350gr,1.37
383,5351,Kolbas Kamchiq Ken 350gr,1.36
384,5352,Tema skin-loving color 2kg,4.91
385,5353,Savex Ocean 2kg ,4.8
386,5354,Delikatesen salam Ken 300gr vakuum,2.75
387,5355,Savex 2in1 color 2kg,4.8
388,5356,Shpek Burgas Eko Mes 140gr,1.17
389,5357,Kashkaval Merone 200gr,1.71
390,5358,Savex Color Brightness 2kg,4.8
391,5359,Saveks 2v1 Fresh 2kg,4.8
392,5360,Tema Skin-loving white 300g,4.92
393,5361,Bonux 3in1 color 300gr,0.97
394,5362,Teo Bebe Tender Aloe 225gr,1.15
395,5363,Savex Ocean 300gr ,0.85
396,5364,Savex Color Brightness 300gr ,0.97
397,5365,Bonux 2in1 color 300gr,0.97
398,5366,Bonux 3in1 Fresh 300gr,0.97
399,5367,Savex 2in1 color 300gr,0.97
400,5368,Balkanska sushenica Boni 150gr vakuum,2.3
401,5369,Pastet Boni 300gr.,1.06
402,5370,Kufteta po chirpanski kompas 300g,1.5
403,5371,Salam Teleshki Madjarski 750gr,1.94
404,5372,Shkembe chorba Kompas 300gr,1.5
405,5373,Kufteta s bob Kompas 300g,1.5
406,5374,Salam Teleshki Madjarski 750gr,2.72
407,5375,Svinsko s bob Kompas 300g,1.5
408,5376,Musaka Kompas 300g,1.5
409,5377,Govejdo s grah Kompas 300gr,1.5
410,5378,Bob qhniq Kompas 300gr,1.5
411,5379,Pile s grah Kompas 300gr,1.5
412,5380,Kufteta s bql sos Kompas 300gr,1.5
413,5381,Pile s oriz Menu 300gr,1.5
414,5382,Pileshko v sobstven sos 180g Kompas,1.5
415,5383,Kufteta s bob 300gr Menu,1.5
416,5384,MENTINA  JELE BONBONI MENTA 90GR,0.51
417,5385,LUKCHETA BILKOVI DAVCHASHTI 85GR,0.53
418,5386,Lukcheta klasik 85gr,0.53
419,5387,Jelirani bomboni mentina 90gr qgoda,0.52
420,5388,Bonboni Temenujka 90gr.,0.43
421,5389,Limonovi Rezenki  180gr.,1
422,5390,Lokum Cveten 140gr.Zaharni Zavodi,0.51
423,5391,Lokum mix Bacho Kolio,1.37
424,5392,Lokum obiknoven 140gr,0.51
425,5393,Lokum medovina 130gr,0.6
426,5394,Lutenica tradiciona Parvomami 400gr,2.06
427,5395,Shveicarsko rulo vanilia glazura mini 115gr,0.45
428,5396,Shveicarsko rulo vanilia decoraciq 115gr,0.45
429,5397,Republika kakao 30gr.,0.29
430,5398,Bonibon 24gr obiknoven / Milka,0.5
431,5399,Suha pasta Galena  maskarpone 50gr.,0.3
432,5400,meden linzer medovina 65gr,0.42
433,5401,Suha pasta Galena qgoda 50gr.,0.3
434,5402,medena pitka medovina 50gr,0.27
435,5403,Suha pasta Galena nukrema 50gr,0.3
436,5404,Medeni sladki medovina 230g,0.9
437,5405,Medenka Lubimka 50g,0.27
438,5406,Medeni sarca 230g,1.06
439,5407,Suha pasta Arbanasi bqla/kafqva 65gr. 28br,0.31
440,5408,Medena pitka Medovinka 40gr.30br,0.22
441,5409,Barni Chocolate filling 150g,1.46
442,5410,Meden lincer Shokey ,0.38
443,5411,Barni Mlqko 150g,1.48
444,5412,Pasta Ideal MAX ,0.47
445,5413,Pasta Iva keik 80gr.,0.38
446,5414,Suha pasta Balkan leshnik 38gr.,0.21
447,5415,Suha pasta 7days vaniliq 32gr.,0.22
448,5416,Suha pasta 7days s kakao 32gr.,0.22
449,5417,Suha pasta 7days s kakaov krem 32gr.,0.22
450,5418,Suha pasta 7days kaisiq 32gr.,0.22
451,5419,Suha pasta 7days gorski plodove 32gr.,0.3
452,5420,Suha pasta Barni kakao 30gr.,0.29
453,5421,Suha pasta Alice qgoda 50gr.,0.29
454,5422,Vafla Borovets 52g s portokalovi korichki,0.23
455,5423,Vafla Borovec sinq 55g,0.23
456,5424,Vafla Chaika 6br klasik ,0.55
457,5425,Vafla Heli maskarpone 10br ,0.7
458,5426,Vafla Heli Gorski plod 10br,0.69
459,5427,Vafla Prestij 32g 100,0.2
460,5428,Rulo Vanilia glazura Doma 300g,1.18
461,5429,Rulo portokal glazura  Doma 300g,1.18
462,5430,Rulo yagoda dekoraciq Doma 300g,1.18
463,5431,Rulo Balkan kakao 150g br i kutiq,0.49
464,5432,Rulo Balkan yagoda 150g br i kutiq,0.49
465,5433,Shveicarsko rulo yagoda dekoraciq mini 115g,0.45
466,5434,Rulo sofia kakao doma 200g,0.74
467,5435,Rulo Balkan mini kakao 180g ,1.02
468,5436,Rulo Sofia yagoda 200g,0.74
469,5437,Rulo Sofia Vanilia 200g,0.74
470,5438,Rulo 7deys cacao 200g,0.74
471,5439,Rulo 7deys capuchino 200g,0.8
472,5440,Rulo 7deys vanilia 200g,0.74
473,5441,Rulo 7deys yagoda dekoraciq 200g,0.74
474,5442,Rulo 7deys cacao glazura 200g ,0.74
475,5443,Rulo 7deys caramel 200g ,0.74
476,5444,Rulo 7deys yagoda glazura 200g,0.74
477,5445,Vafli Heli capuchino maxi 60g,0.19
478,5446,Ot mazeto chereshi 1L,1.6
479,5447,Vafla lokumena limon Bacho kolio 60g,0.19
480,5448,Vafla lokumena qgoda Bacho Kolio 60g,0.19
481,5449,Vafla Varna cocos 36g,0.2
482,6363,Zaharni prachici Shiderov 10g,0.16
483,5451,Vafla Steviq bg line 35g,0.21
484,5452,Vafla Moreni maxx 49g,0.34
485,5453,Vafla Heli cacao 53g,0.17
486,5454,Vafla Heli yogurt gorski plodove 53g,0.19
487,5455,Vafla Heli tiramisu 53g,0.17
488,5456,Vafla Heli halva i med 53g,0.17
489,5457,Vafla Heli karamel 53g,0.17
490,5458,Vafla Heli maskarpone 53g,0.17
491,5459,Vafla Heli s krem biskviti 40g,0.15
492,5460,Vafla Heli med i orehi 40g,0.15
493,5461,Vafla Mura Choco Dreams 36gr 36br Bqla Kutiq,0.26
494,5462,Vafla Borovets leshnik 45g Kutiq 24br,0.25
495,5463,Vafla Hiper kakao i vaniliq 60g,0.35
496,5464,Vafla hiper Jumbo 75g,0.4
497,5465,Vafla Hiper leshnik 55g,0.35
498,5466,Shokolad Milka alpine milk 100g,1.3
499,5467,Shokolad Milka bql 100g,1.09
500,5468,Shokolad Milka extra cacao 100g,1.3
501,5469,Shokolad Milka yagoda 100g,0.6
502,5470,Shokolad Milka noisette 100g,1.18
503,5471,Shokolad Milka milkinis 100g,1.06
